,Region,Year,Sectors,AvgDistToCent_2000,AvgDistToCent_2020,Diff
54,CanterburyRegion,2020,TRANS_STOR,39.76408780581609647697,39.82983747272363928005,0.06574966690754280307
55,GisborneRegion,2020,TRANS_STOR,20.05725154510091101656,14.24420052120591151379,-5.81305102389499950277
56,HawkesBayRegion,2020,TRANS_STOR,18.17567316267113852746,16.14014687751517129755,-2.03552628515596722991
57,Manawatu-WanganuiRegion,2020,TRANS_STOR,36.06827491926716078297,33.85113622513732423158,-2.21713869412983655138
58,MarlboroughRegion,2020,TRANS_STOR,9.08283381065295358781,11.81629229347138831940,2.73345848281843473160
59,NelsonRegion,2020,TRANS_STOR,2.73348367552496984700,2.82785198212060251421,0.09436830659563266721
60,NorthlandRegion,2020,TRANS_STOR,38.29994958122268400302,37.16438886102100269682,-1.13556072020168130621
61,OtagoRegion,2020,TRANS_STOR,56.65203157499537667263,73.71805732284802559207,17.06602574785264891943
62,SouthlandRegion,2020,TRANS_STOR,33.93438876789260660871,25.38310458184660234338,-8.55128418604600426534
63,TaranakiRegion,2020,TRANS_STOR,23.60828135303422570246,17.20880285898678252465,-6.39947849404744317781
64,TasmanRegion,2020,TRANS_STOR,15.92675927224455456610,15.80522068600902407809,-0.12153858623553048801
65,WaikatoRegion,2020,TRANS_STOR,44.17591784837786406115,49.30602385707124568626,5.13010600869338162511
66,WellingtonRegion,2020,TRANS_STOR,16.92541339462762906010,18.95152801798396779986,2.02611462335633873977
67,WestCoastRegion,2020,TRANS_STOR,42.96405710051276827244,40.80420861568204315972,-2.15984848483072511272
68,AreaOutsideRegion,2020,COMBO,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
69,AucklandRegion,2020,COMBO,12.05187968979740276154,12.71237383070260662521,0.66049414090520386367
70,BayOfPlentyRegion,2020,COMBO,31.52837390361514025017,27.70815926966582765090,-3.82021463394931259927
71,CanterburyRegion,2020,COMBO,35.02950072237977252598,34.45341328661682211987,-0.57608743576295040612
72,GisborneRegion,2020,COMBO,11.63029243762714415311,10.22142444754686962938,-1.40886799008027452373
73,HawkesBayRegion,2020,COMBO,15.90597429565417897379,14.77183886308936067167,-1.13413543256481830213
74,Manawatu-WanganuiRegion,2020,COMBO,37.46544425618229468000,33.46787674447863025762,-3.99756751170366442238
75,MarlboroughRegion,2020,COMBO,10.32971577929176376642,11.25752275095439713937,0.92780697166263337294
76,NelsonRegion,2020,COMBO,2.59492245994838421908,3.00348005971730991348,0.40855759976892569441
77,NorthlandRegion,2020,COMBO,38.85456692523440125342,40.35383118559006732085,1.49926426035566606743
78,OtagoRegion,2020,COMBO,61.60909875694344606245,77.65721560183744998085,16.04811684489400391840
79,SouthlandRegion,2020,COMBO,29.81862304432623744788,28.99887585782905219389,-0.81974718649718525398
80,TaranakiRegion,2020,COMBO,23.19790525767240652044,20.13583967165784116560,-3.06206558601456535484
81,TasmanRegion,2020,COMBO,20.34948250574418082692,19.29636669695300810190,-1.05311580879117272502
82,WaikatoRegion,2020,COMBO,42.31466492539045276544,40.48243015510490039333,-1.83223477028555237212
83,WellingtonRegion,2020,COMBO,18.18644569685854150976,19.11672904311126330867,0.93028334625272179892
84,WestCoastRegion,2020,COMBO,45.05120501417824385726,45.37726385063622558391,0.32605883645798172665
