,Region,Year,Sectors,Centroid_lat,Centroid_lon
44,OtagoRegion,2000,WHOLESALE,-45.688012269325874,170.2300403768054
45,SouthlandRegion,2000,WHOLESALE,-46.28643559473067,168.43944506223536
46,TaranakiRegion,2000,WHOLESALE,-39.1886624391889,174.14064327517158
47,TasmanRegion,2000,WHOLESALE,-41.260858109119916,173.0309983858442
48,WaikatoRegion,2000,WHOLESALE,-37.828793594731074,175.4095919026157
49,WellingtonRegion,2000,WHOLESALE,-41.192932360643866,174.91121105053207
50,WestCoastRegion,2000,WHOLESALE,-42.410422365060846,171.26581445332462
51,AreaOutsideRegion,2000,TRANS_STOR,-43.91736412510104,-176.51508525366285
52,AucklandRegion,2000,TRANS_STOR,-36.90027437390785,174.78111351383117
53,BayOfPlentyRegion,2000,TRANS_STOR,-37.87560029685093,176.29176618071634
54,CanterburyRegion,2000,TRANS_STOR,-43.61062033631084,172.3852001284944
55,GisborneRegion,2000,TRANS_STOR,-38.554699936628715,177.95795661827972
56,HawkesBayRegion,2000,TRANS_STOR,-39.571235333587104,176.85071664640031
57,Manawatu-WanganuiRegion,2000,TRANS_STOR,-40.19468071682224,175.50062477610172
58,MarlboroughRegion,2000,TRANS_STOR,-41.51176695695174,173.91778977576854
59,NelsonRegion,2000,TRANS_STOR,-41.28774892144028,173.2572656837599
60,NorthlandRegion,2000,TRANS_STOR,-35.64188292875735,174.09891657336414
61,OtagoRegion,2000,TRANS_STOR,-45.67964886631701,170.12652027527275
62,SouthlandRegion,2000,TRANS_STOR,-46.2359878588122,168.4278570938851
63,TaranakiRegion,2000,TRANS_STOR,-39.19847789204618,174.16994414272094
64,TasmanRegion,2000,TRANS_STOR,-41.29858626874919,173.0632346860281
65,WaikatoRegion,2000,TRANS_STOR,-37.81663289903653,175.46306564584918
66,WellingtonRegion,2000,TRANS_STOR,-41.16645720369807,174.95193107321512
67,WestCoastRegion,2000,TRANS_STOR,-42.34534818185024,171.37313849201337
68,AreaOutsideRegion,2000,COMBO,-43.91736412510104,-176.51508525366285
69,AucklandRegion,2000,COMBO,-36.87650424757546,174.77829467167584
70,BayOfPlentyRegion,2000,COMBO,-37.86343201038406,176.3085624059934
71,CanterburyRegion,2000,COMBO,-43.604981985603004,172.43156496463305
72,GisborneRegion,2000,COMBO,-38.61004080992649,178.004040944732
73,HawkesBayRegion,2000,COMBO,-39.577991336721404,176.85937037214364
74,Manawatu-WanganuiRegion,2000,COMBO,-40.187158558990205,175.48151167196517
75,MarlboroughRegion,2000,COMBO,-41.47739110208244,173.93592856763715
76,NelsonRegion,2000,COMBO,-41.282100014584145,173.2674384800311
77,NorthlandRegion,2000,COMBO,-35.603577748034375,174.1035628649835
78,OtagoRegion,2000,COMBO,-45.63874578064093,170.1260635455155
79,SouthlandRegion,2000,COMBO,-46.26614920711212,168.42772002889197
80,TaranakiRegion,2000,COMBO,-39.20201166415049,174.1525763144265
81,TasmanRegion,2000,COMBO,-41.249973131756754,173.0492763762453
82,WaikatoRegion,2000,COMBO,-37.82467650857532,175.46431575885325
83,WellingtonRegion,2000,COMBO,-41.179090441187,174.93568093997337
84,WestCoastRegion,2000,COMBO,-42.370045292105466,171.2962566551935
0,AreaOutsideRegion,2020,ALL,-43.917364125101045,-176.51508525366285
1,AucklandRegion,2020,ALL,-36.8622048707143,174.77338076035065
2,BayOfPlentyRegion,2020,ALL,-37.824554187868785,176.29928417597395
3,CanterburyRegion,2020,ALL,-43.60019565652706,172.36267882497285
4,GisborneRegion,2020,ALL,-38.57593851289415,177.97274220850147
5,HawkesBayRegion,2020,ALL,-39.59262345986458,176.82883944503988
6,Manawatu-WanganuiRegion,2020,ALL,-40.15260044864627,175.4973824731409
7,MarlboroughRegion,2020,ALL,-41.518044747972866,173.84484879664987
8,NelsonRegion,2020,ALL,-41.28446255209158,173.27237223923254
9,NorthlandRegion,2020,ALL,-35.593733721808825,174.07835053076346
10,OtagoRegion,2020,ALL,-45.45667822803702,169.802429239479
11,SouthlandRegion,2020,ALL,-46.186688046607834,168.41600176007887
12,TaranakiRegion,2020,ALL,-39.22305154368379,174.17560696283942
13,TasmanRegion,2020,ALL,-41.26541022930809,172.99441670233068
14,WaikatoRegion,2020,ALL,-37.81295908301361,175.45094220334443
15,WellingtonRegion,2020,ALL,-41.1850071342315,174.9363168783922
16,WestCoastRegion,2020,ALL,-42.4609001063848,171.2462918368607
17,AreaOutsideRegion,2020,RETAIL,,
18,AucklandRegion,2020,RETAIL,-36.87301251555545,174.7776800423664
19,BayOfPlentyRegion,2020,RETAIL,-37.81892203437599,176.2851751556644
20,CanterburyRegion,2020,RETAIL,-43.59515284714222,172.4265980639981
21,GisborneRegion,2020,RETAIL,-38.62000102841096,178.00871597992102
22,HawkesBayRegion,2020,RETAIL,-39.583067613458724,176.86186990652274
23,Manawatu-WanganuiRegion,2020,RETAIL,-40.219247521507334,175.46803465002805
24,MarlboroughRegion,2020,RETAIL,-41.486487544332775,173.92114975505896
25,NelsonRegion,2020,RETAIL,-41.282966195281475,173.27111177020777
26,NorthlandRegion,2020,RETAIL,-35.57529492251691,174.09453971438245
27,OtagoRegion,2020,RETAIL,-45.4615415842836,169.85459952281596
28,SouthlandRegion,2020,RETAIL,-46.26060663358978,168.42041909693808
29,TaranakiRegion,2020,RETAIL,-39.187483526794935,174.1467005709664
30,TasmanRegion,2020,RETAIL,-41.238804451749616,173.04595880940033
31,WaikatoRegion,2020,RETAIL,-37.811684096043756,175.45450296505695
32,WellingtonRegion,2020,RETAIL,-41.171774782420925,174.9402906787926
33,WestCoastRegion,2020,RETAIL,-42.42209481352216,171.244080095409
34,AreaOutsideRegion,2020,WHOLESALE,-43.91736412510104,-176.51508525366285
35,AucklandRegion,2020,WHOLESALE,-36.87178610005868,174.78191888995252
36,BayOfPlentyRegion,2020,WHOLESALE,-37.79372837574664,176.25046107272135
37,CanterburyRegion,2020,WHOLESALE,-43.597620164642855,172.42757467524285
38,GisborneRegion,2020,WHOLESALE,-38.63630918829377,177.96923554351542
39,HawkesBayRegion,2020,WHOLESALE,-39.59882000574269,176.83733402782605
40,Manawatu-WanganuiRegion,2020,WHOLESALE,-40.233312756898734,175.49926235230456
41,MarlboroughRegion,2020,WHOLESALE,-41.50031678278695,173.9175087032819
42,NelsonRegion,2020,WHOLESALE,-41.28784737694762,173.2599212979651
43,NorthlandRegion,2020,WHOLESALE,-35.62066904996416,174.14325407698237
44,OtagoRegion,2020,WHOLESALE,-45.50791360000751,169.97522741542943
45,SouthlandRegion,2020,WHOLESALE,-46.28763217816007,168.42353635410848
46,TaranakiRegion,2020,WHOLESALE,-39.16164276932487,174.1378307254182
47,TasmanRegion,2020,WHOLESALE,-41.282779080262046,173.04491168563447
48,WaikatoRegion,2020,WHOLESALE,-37.79958499872636,175.39726299845063
49,WellingtonRegion,2020,WHOLESALE,-41.180869364591906,174.93748569804322
50,WestCoastRegion,2020,WHOLESALE,-42.39061066371738,171.18507747456346
51,AreaOutsideRegion,2020,TRANS_STOR,,
52,AucklandRegion,2020,TRANS_STOR,-36.910184861442566,174.79564269746797
53,BayOfPlentyRegion,2020,TRANS_STOR,-37.846597034945816,176.3514396021945
54,CanterburyRegion,2020,TRANS_STOR,-43.61901101186461,172.36332927879036
55,GisborneRegion,2020,TRANS_STOR,-38.58957479670058,178.00488051890338
56,HawkesBayRegion,2020,TRANS_STOR,-39.565884344970854,176.86144009854885
