,Area,TotHousehold,ParentArea,Year,MedInc_house,perc_less20k_house,perc_bet20k30k_house,perc_bet30k50k_house,perc_bet50k70k_house,perc_bet70k100k_house,perc_bet100k150k_house,perc_greater150k_house
139,Massey West,321.0,AucklandRegion,2013,83000.0,0.056074766355140186,0.04672897196261682,0.09345794392523364,0.12149532710280374,0.19626168224299065,0.19626168224299065,0.08411214953271028
140,Beach Haven West,1209.0,AucklandRegion,2013,75300.0,0.06699751861042183,0.06699751861042183,0.15384615384615385,0.11910669975186104,0.1687344913151365,0.1761786600496278,0.12158808933002481
141,Totara Vale South,1248.0,AucklandRegion,2013,70500.0,0.08173076923076923,0.06971153846153846,0.1346153846153846,0.14182692307692307,0.1971153846153846,0.15625,0.07932692307692307
142,Swanson,564.0,AucklandRegion,2013,68700.0,0.0851063829787234,0.06914893617021277,0.1276595744680851,0.13829787234042554,0.17553191489361702,0.16489361702127658,0.06382978723404255
143,Bayview South,960.0,AucklandRegion,2013,84300.0,0.053125,0.05,0.10625,0.115625,0.1875,0.2125,0.103125
144,Campbells Bay,948.0,AucklandRegion,2013,125700.0,0.0379746835443038,0.04430379746835443,0.0759493670886076,0.09177215189873418,0.11075949367088607,0.16772151898734178,0.370253164556962
145,Royal Heights South,1059.0,AucklandRegion,2013,67400.0,0.06515580736543909,0.08498583569405099,0.13314447592067988,0.13031161473087818,0.1558073654390935,0.1529745042492918,0.0708215297450425
146,Beach Haven East,1221.0,AucklandRegion,2013,69200.0,0.10319410319410319,0.07371007371007371,0.09828009828009827,0.11302211302211303,0.16216216216216217,0.15724815724815724,0.06142506142506143
147,Massey East,906.0,AucklandRegion,2013,66500.0,0.10264900662251655,0.056291390728476824,0.11920529801324503,0.11258278145695365,0.1291390728476821,0.15562913907284767,0.06291390728476821
148,Forrest Hill North,753.0,AucklandRegion,2013,84900.0,0.05179282868525897,0.07569721115537849,0.12350597609561753,0.09561752988047809,0.16334661354581673,0.18326693227091634,0.16733067729083664
149,Glenfield North,1014.0,AucklandRegion,2013,72500.0,0.06804733727810651,0.06804733727810651,0.1301775147928994,0.13609467455621302,0.1834319526627219,0.15976331360946747,0.08875739644970414
150,Birkdale North,1308.0,AucklandRegion,2013,73200.0,0.06651376146788991,0.06880733944954129,0.1353211009174312,0.13302752293577982,0.21100917431192662,0.1720183486238532,0.06651376146788991
151,Massey South,1332.0,AucklandRegion,2013,69800.0,0.06306306306306306,0.06531531531531531,0.12612612612612611,0.1463963963963964,0.17792792792792791,0.15765765765765766,0.060810810810810814
152,Ranui North,1146.0,AucklandRegion,2013,56000.0,0.10471204188481675,0.08638743455497382,0.14659685863874344,0.1387434554973822,0.16230366492146597,0.08900523560209424,0.031413612565445025
153,Glenfield West,906.0,AucklandRegion,2013,68100.0,0.06291390728476821,0.06622516556291391,0.152317880794702,0.1456953642384106,0.15894039735099338,0.152317880794702,0.08278145695364239
154,Te Atatu Peninsula North West,1053.0,AucklandRegion,2013,76800.0,0.07122507122507123,0.06837606837606838,0.12535612535612536,0.11396011396011396,0.150997150997151,0.18518518518518517,0.11396011396011396
155,Glenfield South West,1188.0,AucklandRegion,2013,81800.0,0.05555555555555555,0.06565656565656566,0.12121212121212122,0.1111111111111111,0.1717171717171717,0.21464646464646464,0.10101010101010101
156,Forrest Hill West,1203.0,AucklandRegion,2013,67700.0,0.08229426433915212,0.08977556109725686,0.1546134663341646,0.11970074812967581,0.14962593516209477,0.14214463840399003,0.13466334164588528
157,Wairau Valley,69.0,AucklandRegion,2013,52700.0,0.043478260869565216,0.13043478260869565,0.21739130434782608,0.17391304347826086,0.08695652173913043,0.08695652173913043,0.043478260869565216
158,Forrest Hill East,1155.0,AucklandRegion,2013,82600.0,0.07012987012987013,0.09350649350649351,0.11688311688311688,0.11168831168831168,0.15064935064935064,0.18441558441558442,0.18181818181818182
159,Castor Bay,1554.0,AucklandRegion,2013,111600.0,0.04247104247104247,0.0444015444015444,0.09266409266409266,0.08687258687258688,0.13320463320463322,0.1776061776061776,0.3030888030888031
160,Ranui Domain,1041.0,AucklandRegion,2013,50900.0,0.13544668587896252,0.08357348703170028,0.14697406340057637,0.12680115273775217,0.13256484149855907,0.08069164265129683,0.0345821325648415
