site_id, easting, northing, longitude, latitude
1525,1749036.1141,5426753.517,174.78007233078404,-41.296915214686685
1526,1747018.4848,5424579.6816,174.7565102440471,-41.31685744259736
1527,1750121.1844,5427291.6107,174.79289354133002,-41.29186946305036
1528,1748808.2787,5426136.1788,174.7775032959811,-41.302515413998144
1529,1749664.5034,5426527.0291,174.78762994988193,-41.2988380860306
1530,1750782.1551,5427231.2755,174.80079871240397,-41.29228948617144
1531,1746770.0682,5422820.5888,174.75396839211342,-41.33274068258507
1532,1747790.0795,5424268.6197,174.76580033323012,-41.31951705003973
1533,1749269.9346,5425406.3526,174.78319424986415,-41.30900105335657
1534,1748665.7213,5424986.452,174.7760822198898,-41.31289316507982
1535,1750383.6161,5426202.6223,174.79629534006085,-41.30162514564696
1536,1750721.7152,5425725.2915,174.8004501834849,-41.30585962104413
1537,1748449.4904,5423838.8582,174.7737803302382,-41.323265252653584
1538,1750044.2734,5425382.7933,174.7924460655076,-41.309069517514445
1539,1752759.2026,5426650.5401,174.82454502315346,-41.29714624098
1540,1749344.5366,5424129.5237,174.78439861285545,-41.32048300745958
1541,1750291.6754,5424461.9977,174.7956277202449,-41.31731367839017
1542,1748023.172,5422268.593,174.7690712340423,-41.33748138378248
1543,1749731.8813,5423698.974,174.78913057786966,-41.32428756129234
1544,1748598.3661,5422347.3249,174.77592313754505,-41.33666668049187
1545,1752631.2461,5425671.4365,174.82326304451547,-41.30598551200081
1546,1750763.6062,5424047.6053,174.80136626170642,-41.32095648523312
1547,1750148.027,5423377.7273,174.7941800875939,-41.32710245581449
1548,1752144.0018,5424910.3778,174.8176358171758,-41.312929513070166
1549,1749001.0566,5422214.1456,174.78076620009986,-41.33779139284907
1550,1753078.5199,5425247.9292,174.82870993875687,-41.309713678003625
1551,1749555.663,5422205.5143,174.78739354248626,-41.33776637458601
1552,1752707.5774,5424715.7491,174.8244143549974,-41.31457529107176
1553,1751838.7537,5424050.7926,174.81420548032506,-41.32072606349664
1554,1751437.4891,5422945.4588,174.80968878349168,-41.330753088899385
1555,1752343.3011,5422828.6095,174.8205373747895,-41.33163442803115
1556,1753115.6672,5423102.9777,174.82969368876377,-41.329017920301965
1557,1822537.8628,5480295.9443,175.63789439965143,-40.798198245886695
1558,1817281.2585,5469682.7716,175.57934818892164,-40.895117104613675
1559,1824026.6937,5468698.9705,175.6596971117998,-40.902152000253146
1560,1821919.6982,5464426.5634,175.63623599592268,-40.941172591179544
1561,1821365.4893,5462633.7276,175.6302996404844,-40.95745626347731
1562,1824372.6168,5464866.7595,175.6651855308439,-40.9365417983271
1563,1823543.4661,5463884.9093,175.6557007938896,-40.94560426279403
1564,1822476.0504,5463242.5679,175.64326343988404,-40.95167579116828
1565,1823275.4406,5463819.3298,175.65254353432886,-40.946267660564274
1566,1821640.9114,5461330.856,175.63403538238646,-40.96910581048448
1567,1825575.462,5464251.7877,175.67968231865973,-40.9417445815853
1568,1824048.4797,5462749.7105,175.66210474672116,-40.95568113963824
1569,1851783.3637,5465928.356,175.98995008045432,-40.91901038357127
1570,1828182.2983,5459747.5562,175.7122767808939,-40.981550936875365
1571,1824488.2696,5462241.7016,175.6675090063681,-40.96013173917214
1572,1806430.6767,5467552.6448,175.45136445784183,-40.91709664061609
1573,1812458.2951,5456009.6919,175.52683934374673,-41.01943446845603
1574,1816989.7726,5453792.473,175.58146175108035,-41.03819358782573
1575,1811352.3724,5454392.8672,175.51425210051508,-41.03427261114796
1576,1830336.0807,5438373.9594,175.74584727137596,-41.17326098823671
1577,1798950.1977,5451480.8357,175.36777957323162,-41.06360559675205
1578,1785035.7447,5431304.2376,175.20839023359903,-41.24850430693494
1579,1795358.9072,5445771.6838,175.32688547753523,-41.11586179217865
1580,1787900.7206,5435067.1677,175.2414009607029,-41.21397355766805
1581,1806160.4082,5449189.9038,175.45428416828344,-41.08242908191131
1582,1805543.7664,5416660.4768,175.45789560488748,-41.37533738046768
1583,1806094.0994,5433925.6492,175.45862536233682,-41.21981974121587
1584,1517151.9528,6218589.8709,172.1010848551556,-34.1703570341442
1585,1519370.1877,6219778.0087,172.12526109922166,-34.159816774456544
1586,1659741.6346,6104444.836,173.65629681032416,-35.20121959057978
1587,1641991.5372,6134917.3268,173.4597651615242,-34.92734736402036
1588,1707328.0092,5986867.3468,174.1947092810632,-36.25715054493758
1589,1849611.3518,5929977.6674,175.79568095772996,-36.743130379353545
1590,1821974.1138,5935710.3788,175.4847561543837,-36.69836801523795
1591,1737853.4339,5792772.6677,174.57013231641045,-38.00224590079154
1592,1947354.1582,5835922.283,176.93204557886204,-37.558268232147576
1593,1906932.7546,5849453.4397,176.46965060505218,-37.45087636584344
1594,1692467.5374,5642537.0803,174.07332956711323,-39.36167765239982
1595,1690557.6232,5676615.7753,174.04659599343026,-39.05484728889641
1596,2073754.0249,5766905.7033,178.40299903481971,-38.12137157826173
1597,1771613.436,5540257.4307,175.01839343170195,-40.27056705883715
1598,1977311.6633,5613168.337,177.39063216494674,-39.54822544784502
1599,1937123.8526,5623298.3614,176.91894365557152,-39.47388082751552
1600,1797594.518,5428261.5999,175.3591464327919,-41.27291709462884
1601,1754972.1906,5428442.5817,174.85050758736583,-41.28059045545646
1602,1944666.4369,5582959.9116,177.0274432428752,-39.83346341710282
1603,1906266.5791,5498086.1424,176.62007308654836,-40.61132065622669
1604,1589053.398,5499774.1693,172.87051768625568,-40.65281838271968
1605,1563932.6,5475667.204,172.57198970881458,-40.86926720305385
1606,1581694.918,5501686.911,172.7835337641251,-40.635456604472864
1607,1584700.7448,5476712.9998,172.8184681397962,-40.86049745729048
1608,1593534.1677,5472620.1296,172.92323754811378,-40.897485079525474
1609,1593662.0573,5455665.6276,172.92458212363263,-41.0502168513147
1610,1600122.7664,5455192.2544,173.00146094455116,-41.05450573884184
1611,1587558.661,5433551.2748,172.8515066143681,-41.24935195608357
1612,1598409.3798,5443454.8478,172.9810409163494,-41.16023557689266
1613,1601107.391,5449487.7481,173.01318844071457,-41.105891832780806
1614,1599631.4374,5447316.7647,172.9956093115572,-41.125448847725586
1615,1601613.7469,5447920.9072,173.01922298784336,-41.12000518386904
1616,1602516.9256,5445459.5015,173.02999176640446,-41.14217530848729
1617,1582330.2469,5404724.9447,172.7882628319399,-41.50891012285579
1618,1602814.53,5431920.196,173.03360035372526,-41.26413529661232
1619,1606744.4122,5434416.6914,173.08048833971048,-41.241624031304504
1620,1555615.443,5362898.0948,172.4650350235572,-41.88459946625596
1621,1611932.0534,5429238.1067,173.14249928495516,-41.28821174536423
1622,1612433.3753,5430700.2593,173.1484564832691,-41.275033448921015
1623,1606797.3627,5424631.0493,173.08122949676923,-41.329770516945025
1624,1611489.2254,5424104.5432,173.1373077900331,-41.33445989691819
1625,1603695.2947,5415652.2655,173.04421406122276,-41.410668499647464
1626,1614184.3603,5424571.9468,173.16950632435808,-41.330206744333864
1627,1610471.0235,5410429.5851,173.12537576277347,-41.457652268040995
1628,1608999.8121,5419376.3034,173.10762699045415,-41.37708194327639
1629,1611944.983,5420487.6097,173.1428257241324,-41.36703338010739
1630,1615846.1606,5423758.4305,173.18938633938149,-41.33750366859922
1631,1614715.3935,5422919.3875,173.1758923064347,-41.345082927396035
1632,1614351.0286,5421605.859,173.1715681521585,-41.356921303111115
1633,1615617.525,5422645.6285,173.1866824255544,-41.347531867545094
1634,1617083.5173,5423309.4865,173.20418722557545,-41.34152231517637
1635,1616594.998,5422732.2094,173.19836411298064,-41.34673243294328
1636,1615673.0806,5421960.6927,173.18736418840183,-41.35370044406224
1637,1617467.2138,5418327.4322,173.20891673487895,-41.38639048019656
1638,1624014.6618,5433112.9376,173.2866425800423,-41.2530393805797
1639,1627226.8716,5435650.9146,173.32487020482748,-41.23007617230248
1640,1623283.9602,5432173.734,173.2779567803211,-41.26152085486
1641,1619235.8167,5428394.7378,173.22975103664592,-41.295667554003536
1642,1620190.9692,5429633.2477,173.24111812796073,-41.28448808970112
1643,1622573.49,5431413.7997,173.2695036397281,-41.268386295973556
1644,1626791.8986,5433677.287,173.3197668353763,-41.24786858976298
1645,1618435.8157,5427203.7134,173.22023204791793,-41.306414618023396
1646,1622323.3199,5430656.049,173.26654466528498,-41.27521885105514
1647,1621210.6012,5428900.4739,173.25331986811224,-41.29106254965465
1648,1623627.7041,5430927.3017,173.2821085640708,-41.272738376718294
1649,1624491.5052,5431551.1121,173.29239692373034,-41.26709354730046
1650,1621913.8186,5429526.4336,173.26169583494917,-41.28540530985855
1651,1619796.6591,5427431.5965,173.236480975719,-41.30432966985568
1652,1618546.3199,5426374.637,173.22157739251244,-41.313880143982416
1653,1622599.4953,5429480.366,173.26988584189218,-41.28580136780151
1654,1623641.2946,5430040.6637,173.28230523880995,-41.28072454403326
1655,1620342.5957,5426939.317,173.2430188694106,-41.30875038265902
1656,1624978.5694,5430486.6064,173.29825540482048,-41.27666737035697
1657,1622899.616,5428280.5336,173.27351501638884,-41.296600615432254
1658,1618545.3152,5424171.6683,173.22163261507455,-41.33372376793626
1659,1619012.9629,5424833.0186,173.227200671479,-41.327755659095764
1660,1620451.9381,5425179.7941,173.24438428833295,-41.32459680191161
1661,1622127.9018,5426245.4777,173.26437172143585,-41.31495324485131
1662,1617900.0604,5423445.9953,173.21394270097773,-41.34027496494436
1663,1624399.5569,5427830.0998,173.29144828788822,-41.300614007051614
1664,1654725.3404,5437828.0807,173.65277080523694,-41.209072685261575
1665,1687404.6643,5460985.2185,174.03923036919215,-40.997636901318415
1666,1687480.8721,5437451.5548,174.0434864051043,-41.209586655904346
1667,1621792.4558,5370941.3462,173.26237145208822,-41.813101051654186
1668,1686579.4159,5430862.9298,174.0336699743969,-41.26902334507433
1669,1684255.1096,5428603.2911,174.00623684106833,-41.289620363124804
1670,1676146.5992,5414382.4234,173.91119585413176,-41.41850690570612
1671,1650205.314,5355143.9025,173.60577887688868,-41.954087749947774
1672,1668925.1441,5404503.124,173.82591889194038,-41.508137451352056
1673,1680391.845,5407035.6483,173.96296727862045,-41.484260345746186
1674,1675384.767,5401922.1816,173.90363797414676,-41.53080032900321
1675,1680499.2567,5408066.8284,173.96411606461467,-41.47496254491731
1676,1678131.5024,5404843.9557,173.93617966092197,-41.50422277128554
1677,1677960.857,5403739.2297,173.93427827515293,-41.51418882290262
1678,1679473.2181,5405015.4007,173.95223149729753,-41.502546727795774
1679,1678605.202,5402867.0743,173.94211298216612,-41.52198064991817
1680,1680287.3183,5403879.3638,173.96213603591832,-41.51269690129257
1681,1680708.0823,5404567.0914,173.96708545226056,-41.50646083057615
1682,1680008.5163,5403005.1862,173.9589116251888,-41.520597788559755
1683,1679135.1694,5401975.7951,173.94858125055205,-41.52995546134246
1684,1678396.2248,5400641.8965,173.939898701715,-41.54204151329002
1685,1680075.0612,5402180.4919,173.95981882954274,-41.52801845657223
1686,1682502.9395,5401924.3872,173.9889515889232,-41.53007839927828
1687,1679960.6158,5401051.911,173.95859727695537,-41.53819405352446
1688,1690784.834,5400786.0261,174.0883809741203,-41.53943373754654
1689,1653177.4674,5328138.7198,173.64409341984,-42.19710109503872
1690,1655667.7671,5304174.621,173.6765611745211,-42.412737923071404
1691,1538417.3453,5428530.1428,172.26450166940498,-41.29232750786503
1692,1509104.5306,5411128.4686,171.9118529368136,-41.44627884330218
1693,1485186.9905,5377854.0341,171.61922535647875,-41.742840941443305
1694,1487518.2888,5373521.153,171.64643476593457,-41.78218993744379
1695,1484410.5457,5375854.4953,171.60950166261068,-41.760733013265174
1696,1505750.5574,5379781.4616,171.86678226969164,-41.72818942406931
1697,1480370.0247,5353330.388,171.55635472739934,-41.96294229346778
1698,1517054.6745,5330635.8539,171.99575385004997,-42.172023675922425
1699,1505707.7854,5337132.8936,171.85944873646676,-42.11223538293917
1700,1471095.0262,5318581.1028,171.43679439548384,-42.27433321399361
1701,1455965.7472,5305103.0825,171.25004171828405,-42.39301461619154
1702,1452644.2053,5300221.5248,171.2084545969015,-42.4363334891211
1703,1451531.4082,5298672.9746,171.1945314439387,-42.4500605360171
1704,1451936.1968,5297905.644,171.19925362895893,-42.45704507639637
1705,1452768.8652,5297899.9829,171.20937423881986,-42.45725465826652
1706,1452425.1943,5296513.6695,171.2048399171762,-42.46966821038537
1707,1451725.4109,5295062.4918,171.19595627639245,-42.482597290744025
1708,1449265.4553,5290196.1934,171.1647598618766,-42.52592511868932
1709,1459330.7858,5287005.3245,171.28646774668104,-42.556545403918804
1710,1469337.625,5294761.7687,171.41008835162322,-42.48847684014477
1711,1492133.4081,5301462.5481,171.68865107544804,-42.431657929299725
1712,1492880.798,5278873.0591,171.69350188876314,-42.635145711967425
1713,1267184.8796,5108731.0633,168.8420506808167,-44.098900428387196
1714,1345214.5262,5166232.9164,169.8426136780632,-43.6132795193068
1715,1447465.1988,5273139.001,171.13828527211155,-42.679103294824856
1716,1433934.2503,5268431.047,170.97185518926815,-42.71867207496506
1717,1377406.0395,5217237.213,170.26180165902537,-43.164861561245644
1718,1433214.6781,5260828.7402,170.96082980665014,-42.78693519567892
1719,1419476.9521,5226738.4988,170.78199705319776,-43.09058184791086
1720,1392127.7829,5207201.8296,170.43893800742865,-43.25932698601605
1721,1461523.777,5251323.8195,171.30444523551068,-42.87813255611087
1722,1558711.4811,5290900.7744,172.49723425137338,-42.53317470690097
1723,1596614.0248,5278657.1854,172.95869585057824,-42.64453270782727
1724,1585464.7765,5292138.2858,172.82303474183058,-42.52299613388267
1725,1563064.314,5246428.3551,172.54733326354108,-42.93387941116992
1726,1620553.1087,5269029.2153,173.25106689822718,-42.730970465047726
1727,1564537.0275,5225253.3305,172.5640342204879,-43.12462588017747
1728,1595665.698,5240778.6593,172.94683621017737,-42.98563842644794
1729,1578950.2434,5223341.7612,172.74114882779386,-43.14237706051199
