WKT,SA22020_V1_00,SA22020_V1_00_NAME,SA22020_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,SHAPE_X,SHAPE_Y
POINT (174.05059554802327 -39.09534721537192),217900,Hurdon,Hurdon,3.76519139887,3.76519139887,-39.09534721491919,174.05059554840264,1690851.7420333885,5672117.248949871,1690851.742,5672117.2489
POINT (174.07012898169108 -39.08421245868532),218000,Frankleigh Park,Frankleigh Park,2.10682301569,2.10682301569,-39.08421245885051,174.07012898205767,1692555.517931489,5673333.231981301,1692555.5179,5673333.232
POINT (174.10210547729596 -39.06456633663546),218100,Merrilands,Merrilands,1.72869386402,1.72869386402,-39.06456633696924,174.10210547726214,1695347.6746966238,5675480.437163001,1695347.6747,5675480.4372
POINT (174.0627282571086 -39.09377241550198),218200,Ferndale,Ferndale,1.79142689403,1.79142689403,-39.093772415327344,174.06272825736943,1691903.0044227843,5672279.811519126,1691903.0044,5672279.8115
POINT (174.0924535923403 -39.08383935732147),218300,Welbourn,Welbourn,6.49310747444,6.49310747444,-39.08383935721134,174.09245359220313,1694486.9205882826,5673351.660712372,1694486.9206,5673351.6607
POINT (176.24976047244118 -40.70761139127707),233900,Mara,Mara,69.0932144988,69.0932144988,-40.70761139128908,176.24976047242575,1874536.2791982384,5488619.2370876325,1874536.2792,5488619.2371
POINT (174.12361560978286 -39.07426543177853),218400,Fitzroy-Glen Avon,Fitzroy-Glen Avon,16.9544139761,16.9544139761,-39.07426543199889,174.1236156101134,1697195.3482282932,5674381.280375199,1697195.3482,5674381.2804
POINT (174.22654588059146 -38.99750082300783),218500,Waitara West,Waitara West,3.38641804566,3.38641804566,-38.997500823079946,174.22654588107983,1706214.201442184,5682785.27059143,1706214.2014,5682785.2706
POINT (174.083321804116 -39.09024137227464),218600,Upper Vogeltown,Upper Vogeltown,2.46278173509,2.46278173509,-39.09024137224703,174.0833218040921,1693688.61679797,5672650.641203097,1693688.6168,5672650.6412
POINT (174.10444533134634 -39.08067773959006),218700,Highlands Park (New Plymouth District),Highlands Park (New Plymouth District),2.91888569815,2.91888569815,-39.08067773930511,174.10444533142606,1695528.3837072805,5673689.989331546,1695528.3837,5673689.9893
